Id,Date,User,Tweet
1,2022-08-16 07:09:33+00:00,Deadjerseykid1,Pota ang palpak ng DA at DEPED HAHAHA #dutertePalpak #marcospalpak
2,2022-08-11 04:02:07+00:00,31Mcancercells,"Sobrang incompetent ni #Duterte nagmahal mga Samgyupsal, Starbucks, Jollibee/Mcdo. Hahahaha #DutertePalpak"
3,2022-08-07 00:41:49+00:00,KitVagana,#Dutertepalpak
4,2022-07-30 00:34:51+00:00,Kyle_Aesha,"HINDI PA NG TAPOS NG KRISIS SA #COVID19 NA PINAGKAPERAHAN NG #dutertepalpak GOVERNMENT ETO NAMAN SI NARCOS AT GAGAYAHIN PA SA #monkeypox
PLANO TALAGNG UBUSIN ANG PINOY."
5,2022-07-25 22:37:13+00:00,UltraViol8r,"Comparing the murderous doctor to an animal is an insult to animals. Animals have no morality or legal systems that direct them to what's right, away from what's wrong.
Call them as they are: evil.
#DutertePalpak
#MarcosMagnanakaw"
6,2022-07-25 08:21:11+00:00,Carwyn_Candila,"Grabe, Marcos’ team HYPED UP the people for his supposed “agricultural platform,” pero ang ginawa niya ay Tinagalog lang ang salita ni Duterte.

#DutertePalpak #MarcosMagnanakaw #PeoplesSONA"
7,2022-07-24 14:54:34+00:00,roncerod,#DutertePanagutin #DutertePalpak #MarcosMagnanakaw
8,2022-07-20 15:26:13+00:00,dino_zur,"Let is be reminded na hindi magkakaroon ng ganitong issue kung maayos sana sa simula yung pandemic response natin at mabilis tayong nakapag #LigtasNaBalikEskwela 

#dutertepalpak 
#dutertepanagutin"
9,2022-07-19 16:06:53+00:00,JiJoven,Tuwang-tuwa dahil ginawa ni Dutae na 10 years yung validity nang passport. Ang kapalit pala - habang buhay tayong magbabayad nang inutang nya. #dutertepalpak #dutertepanagutin
10,2022-07-17 23:45:30+00:00,DuaneAbueva8,"#dutertepalpak 
Duterte implemented an intensified campaign against terrorism &amp; communist insurgency. He signed d controversial Anti-Terrorism Act of 2020, &amp; oversaw the five-month long Battle of Marawi, declaring martial law throughout"
11,2022-07-17 23:43:20+00:00,DuaneAbueva8,"#dutertepalpak 
His political positions have been described as populist and nationalist. Duterte's political success has been aided by his vocal support for the extrajudicial killing of drug users and other criminals."
12,2022-07-15 16:39:49+00:00,FactUpo,"Sa lahat ng nagawa ni Dutae, isa lang ang totoo. Ang totoo, PEKE lahat. Yung ang totoo! #DutertePalpak #PutDuterteInJail"
13,2022-07-15 08:12:20+00:00,cristonteveros,May nasasagap na naman akong #DutertePalpak dahil lang sa na unsyameng Rail Train project ng China.
14,2022-07-12 04:57:05+00:00,zhetrina,The fact that Marcos Jr cant take time for himself while the country is crashing shows that he does not really care about Filipinos at all. #MarcosInutil #DutertePalpak #MarcosDuterteIbagsak
15,2022-07-04 14:24:33+00:00,DITA_manila,"Noon : Mag Jejetski ako papuntang West Phil Sea with a Flag

Ngayon : Ibababa ko ang presyo ng Bigas sa P20/Kilo

Mga Pangakong Di Pinag-Isipan at Di matutupad Kailanman! #Mabubudol #DutertePalpak #MarcosMagnanakaw"
16,2022-07-04 07:37:00+00:00,UltraViol8r,"#MarcosSinungaling
#MarcosSingawNgBayan
#MarcosMagnanakaw 
#NeverForget
#NeverAgain
#DutertePalpak
Heavens help us, it'll be a long dark night."
