Id,Date,User,Tweet,Sentiment
1,2022-08-16 07:09:33+00:00,Deadjerseykid1,Pota ang palpak ng DA at DEPED HAHAHA #dutertePalpak #marcospalpak,0
2,2022-08-11 04:02:07+00:00,31Mcancercells,"Sobrang incompetent ni #Duterte nagmahal mga Samgyupsal, Starbucks, Jollibee/Mcdo. Hahahaha #DutertePalpak",0
3,2022-08-07 00:41:49+00:00,KitVagana,#Dutertepalpak,0
4,2022-07-30 00:34:51+00:00,Kyle_Aesha,"HINDI PA NG TAPOS NG KRISIS SA #COVID19 NA PINAGKAPERAHAN NG #dutertepalpak GOVERNMENT ETO NAMAN SI NARCOS AT GAGAYAHIN PA SA #monkeypox
PLANO TALAGNG UBUSIN ANG PINOY.",0
5,2022-07-25 22:37:13+00:00,UltraViol8r,"Comparing the murderous doctor to an animal is an insult to animals. Animals have no morality or legal systems that direct them to what's right, away from what's wrong.
Call them as they are: evil.
#DutertePalpak
#MarcosMagnanakaw",0
6,2022-07-25 08:21:11+00:00,Carwyn_Candila,"Grabe, Marcos’ team HYPED UP the people for his supposed “agricultural platform,” pero ang ginawa niya ay Tinagalog lang ang salita ni Duterte.

#DutertePalpak #MarcosMagnanakaw #PeoplesSONA",0
7,2022-07-24 14:54:34+00:00,roncerod,#DutertePanagutin #DutertePalpak #MarcosMagnanakaw,0
8,2022-07-20 15:26:13+00:00,dino_zur,"Let is be reminded na hindi magkakaroon ng ganitong issue kung maayos sana sa simula yung pandemic response natin at mabilis tayong nakapag #LigtasNaBalikEskwela 

#dutertepalpak 
#dutertepanagutin",0
9,2022-07-19 16:06:53+00:00,JiJoven,Tuwang-tuwa dahil ginawa ni Dutae na 10 years yung validity nang passport. Ang kapalit pala - habang buhay tayong magbabayad nang inutang nya. #dutertepalpak #dutertepanagutin,0
10,2022-07-17 23:45:30+00:00,DuaneAbueva8,"#dutertepalpak 
Duterte implemented an intensified campaign against terrorism &amp; communist insurgency. He signed d controversial Anti-Terrorism Act of 2020, &amp; oversaw the five-month long Battle of Marawi, declaring martial law throughout",0
