Id,Date,User,Tweet
1,2021-09-12 03:17:00+00:00,dv_joseph_,"Because of #DutertePalpak and #DuquePalpak, I was Covid+."
2,2021-09-12 03:14:03+00:00,AngatLahat501,Pambansang Sindikato #davaoboys  #dutertepalpak
3,2021-09-12 02:43:47+00:00,Prynzliteratus,"Tangina talaga, anong essence nung pagbibigay ng baril sa BFP??? May magagawa ba yung baril sa apoy???? TANGINAMO DUTERTE!!! Pasang awa sa law school amp
#OustDuterte
#DutertePalpak"
4,2021-09-12 01:06:42+00:00,NelsarmWin,"INCOMPETENCE: Hawak mo na Malacanang, Kongreso, ang korte, mga pulis at AFP.. pero sinasabi mo pa rin wala kang magagawa sa patayan, sa pananakop ng Tsina, at sa pagtaas ng presyo, maliban sa isisi ang lahat sa nakaraang adminitrasyon

 #DuterteInutil  #DutertePalpak #Duterte"
5,2021-09-12 01:03:36+00:00,sakamotoclark,"Biruin mo lahat ng gawain ngayon online, shopping online, work from home online, paano naman yung mga blue collar job, milyon milyon trabahador mawawalan ng trabaho dahil sa kapabayaan ng gobyerno.
#DuqueResign #RoqueResign #DutertePalpak"
6,2021-09-12 00:11:23+00:00,_cherryleeeyn,"may dalawang for intubation, pero isa nalang yung mechvent, paano mo kakayanin pumili kung sinong bubuhayin?

#DutertePalpak #DuqueResign"
7,2021-09-12 00:07:46+00:00,unlucky911,"You can't fight crime by becoming a criminal.
You can't fight beat corruption if you are corrupt.
#DutertePalpak"
8,2021-09-11 23:22:34+00:00,cabrera_marco,"Mr. President, ang dami mong oras kay Gordon a. Siya ba problema ng mga Pilipino ngayon?
#DutertePalpak #kalmaAkoLangTo"
9,2021-09-11 21:19:43+00:00,BrotherGeoffee9,"Everytime nag-sscroll ako sa Instagram feeds ng mga foreign music photographer accounts, mapapa SANA ALL ka na lang dahil sa mga shots nila Download Festival. I see no future for this country tbh. #DutertePalpak"
10,2021-09-11 18:12:36+00:00,jmschumey,"Desperado na si Inutil, palapit na ng palapit sa opisina niya ang senate investigation. Lagot sila ni Yaya pag nagkataon. #DuterteCorrupt #GoCorrupt #GoResign #OustDuterteNow"
11,2021-09-11 12:53:47+00:00,RainbowTravelr,"My mom faced the guns of Marcos' private army during Martial Law when she tapped the presidential car &amp; shouted ""Tama na Sobra na!"" She stayed unfazed while her friends run away. Her story is still relevant today as we grapple to make sense of #DuterteCorrupt. Tama na Sobra na!"
12,2021-09-11 12:41:38+00:00,MikeRamirezzzz,"At the rate the Duterte admin is self destructing,   I think the pendulum of political fortunes is now zeroed in on a tested and proven performer none other than Yorme Isko Moreno even without him asking for it. #DutertePalpak"
13,2021-09-11 12:40:40+00:00,isabelmerana,"Grabe ang pinsalang tinamo galing sa onslaught ng bagyong Kiko!! 

Kumusta naman kaya ang Pilipinas sa patuloy na onslaught ng bagyong Duterte? 

#DutertePalpak 
#DuterteInutil"
14,2021-09-11 11:47:50+00:00,miguelbreyes81,#TanginaMoBongGo #DuterteInutil #DutertePalpak
15,2021-09-11 10:29:34+00:00,stephDGREAT,"So bukas na nga ang simula muli ng paglabas sa big world. Kung di ko lang mahal ang industriya 😭 pati direktor diko sana gusto lumabas... covid pls... stay fucking away from all of us sa set. 😥

#DutertePalpak nga kasi! Kulit eh."
16,2021-09-11 10:27:49+00:00,ariestotl,Tagal mo ng sinasabi na mag reresign ka sa pwesto mo pero hanggang ngayon andyn ka pa rin sa pwesto kht inutil ka... Ayaw mo lng bumaba tlga. #DutertePalpak
17,2021-09-11 10:26:25+00:00,dkarlocastro,"Nagse-self drstruct na yung matandang hukluban sa Malacañan!!! 🤯
#DutertePalpak #DuterteInutil #DuterteWakasan"
18,2021-09-11 10:25:52+00:00,sef_kent,"Nakaka umay na ang pettydente 

#DutertePalpak 
#DuterteWakasan 
#DuterteCorrupt 
#OUSTDUTERTENOW"
19,2021-09-11 10:25:47+00:00,perezcjayyyy,FIGHT FIRE WITH GUN? ONLY IN THE PHILIPPINES! #DutertePalpak
20,2021-09-11 10:14:09+00:00,siyannnn_,amputa gustong ipa-audit ang red cross pero ayaw niya ipakita sa public SALN niya? #DutertePalpak #duterteresign
21,2021-09-11 10:06:50+00:00,Rexinyeta,"Kaya pa b nating paabutin hanggang next year? 
#OustDuterte 
#DutertePalpak 
#DuterteWakasan"
22,2021-09-11 09:58:34+00:00,sirronlopezphd,"At ibinalik pa talaga si mañanita.

#DutertePalpak"
23,2021-09-11 09:56:41+00:00,hyunevior,#DutertePalpak OOMFS DROP THE TAGS FOR OUR PRESIDENT 😻
24,2021-09-11 09:42:20+00:00,bituinrustia,Pakisabi sa lahat ng ‘social media experts’ na nagshare nung bogus na kwento about their “chinese neighbor sa condo” — NASA KAMAY NIYO ANG DUGO NG MGA NAMATAY SA COVID SA PILIPINAS. Sana talaga mawala na ang mga sinungaling sa Malacañang. #DuqueResign #DuterteCorrupt
25,2021-09-11 09:30:34+00:00,my_monica88,"NAKAKASUKA NA ANG ADMINISTRASYONG ITO! ANG SARAP UMATTEND NG PEOPLE POWER!!! 

#DutertePalpak
#DutertePalpak
#DuterteCorrupt
#DuterteCorrupt"
